setting,subset,depth,canonical_task_count,included_cells,nominal_cells,model_task_count,turn_observation_count,avg_acc,turn_1_pass_rate,turn_2_pass_rate,turn_3_pass_rate,turn_4_pass_rate,turn_5_pass_rate,observed_cr,avg_acc_power_baseline,product_baseline,gap_vs_avg_acc_power_pp,gap_vs_product_baseline_pp
CE / Basic,Pooled,2,443,16,16,1772,3544,0.4980248306997743,0.5005643340857788,0.49548532731376976,,,,0.33860045146726864,0.24802873199353886,0.24802228291609132,9.057171947372977,9.057816855117732
CE / Basic,Pooled,3,436,16,16,1744,5232,0.4747706422018349,0.5028669724770642,0.5011467889908257,0.4202981651376147,,,0.23394495412844038,0.10701670339042603,0.10591941143608079,12.692825073801433,12.80255426923596
CE / Basic,Pooled,4,363,16,16,1452,5808,0.4495523415977961,0.49173553719008267,0.4820936639118457,0.4049586776859504,0.4194214876033058,,0.16046831955922866,0.040843321834583834,0.04026469419602292,11.962499772464483,12.020362536320576
CE / Basic,Pooled,5,172,16,16,688,3440,0.4712209302325581,0.5218023255813954,0.5218023255813954,0.4796511627906977,0.4273255813953488,0.4055232558139535,0.1555232558139535,0.02323393988749338,0.02263143954612903,13.22893159264601,13.289181626782446
CE / Golden,Pooled,2,443,16,16,1772,3544,0.5699774266365689,0.4932279909706546,0.6467268623024831,,,,0.3448081264108352,0.3248742668752453,0.3189837910002089,1.9933859535589904,2.5824335410626285
CE / Golden,Pooled,3,436,16,16,1744,5232,0.5877293577981652,0.4954128440366973,0.6496559633027523,0.6181192660550459,,,0.2408256880733945,0.20301688243594596,0.1989403929371466,3.780880563744854,4.188529513624789
CE / Golden,Pooled,4,363,16,16,1452,5808,0.5804063360881543,0.48622589531680444,0.6198347107438017,0.5950413223140496,0.6205234159779615,,0.1618457300275482,0.1134824175990423,0.11128055384838478,4.836331242850591,5.0565176179163425
CE / Golden,Pooled,5,172,16,16,688,3440,0.6206395348837209,0.5145348837209303,0.6816860465116279,0.6715116279069767,0.6526162790697675,0.5828488372093024,0.1511627906976744,0.09208675809540451,0.08959145767847704,5.90760326022699,6.157133301919737
CI / Basic,Pooled,2,443,16,16,1772,3544,0.494920993227991,0.4853273137697517,0.5045146726862303,,,,0.3211060948081264,0.2449467895377811,0.24485475085223365,7.615930527034531,7.625134395589275
CI / Basic,Pooled,3,436,16,16,1744,5232,0.47247706422018343,0.48795871559633025,0.5126146788990825,0.4168577981651376,,,0.19724770642201836,0.10547321720208579,0.10427064210229557,9.177448921993257,9.297706431972278
CI / Basic,Pooled,4,363,16,16,1452,5808,0.46212121212121215,0.4793388429752066,0.5034435261707989,0.41253443526170797,0.453168044077135,,0.128099173553719,0.04560617141129132,0.04511415913288651,8.249300214242767,8.298501442083248
CI / Basic,Pooled,5,172,16,16,688,3440,0.48372093023255813,0.501453488372093,0.5566860465116279,0.48401162790697677,0.438953488372093,0.4375,0.13517441860465115,0.026483440054391977,0.025947370308862933,10.869097855025919,10.922704829578823
FH / Basic,Pooled,2,443,43,44,4784,9568,0.4740802675585284,0.4705267558528428,0.477633779264214,,,,0.3085284280936455,0.22475210008836585,0.22473947264292346,8.377632800527964,8.378895545072204
FH / Basic,Pooled,3,436,43,44,4707,14121,0.4553501876637632,0.47142553643509666,0.484809857658806,0.4098151688973869,,,0.20288931378797537,0.09441403523807651,0.0936639728870464,10.847527854989886,10.922534090092896
FH / Basic,Pooled,4,363,43,44,3908,15632,0.436668372569089,0.46059365404298874,0.46443193449334697,0.3971340839303992,0.4245138178096213,,0.13382804503582396,0.036358583093287274,0.036063595003225646,9.74694619425367,9.776445003259832
FH / Basic,Pooled,5,172,43,44,1867,9335,0.464167113015533,0.4911622924477772,0.5152651312265667,0.4654525977504017,0.4327798607391537,0.4161756829137654,0.1242635243706481,0.021546256901611993,0.021216560202008614,10.27172674690361,10.304696416863948
FH / Golden,Pooled,2,443,43,44,4784,9568,0.5385660535117056,0.4761705685618729,0.6009615384615384,,,,0.3208612040133779,0.2900533939951733,0.2861601974530486,3.0807810018204593,3.4701006560329315
FH / Golden,Pooled,3,436,43,44,4707,14121,0.557538417959068,0.4782239218185681,0.6088803909071595,0.5855109411514765,,,0.22349691948162312,0.17331030846893739,0.17048975998945634,5.018661101268574,5.300715949216678
FH / Golden,Pooled,4,363,43,44,3908,15632,0.5565506653019447,0.4657113613101331,0.5849539406345957,0.5660184237461617,0.6095189355168884,,0.14790174002047082,0.09594422187010045,0.0939845082948821,5.195751815037037,5.391723172558873
FH / Golden,Pooled,5,172,43,44,1867,9335,0.5941081949651847,0.49758971612212105,0.6464916979110873,0.6411355115158007,0.6202463845741831,0.5650776647027317,0.14515265131226568,0.07401635852938439,0.07228639453751992,7.113629278288129,7.286625677474576
