setting,subset,depth,canonical_task_count,included_cells,nominal_cells,model_task_count,turn_observation_count,avg_acc,turn_1_pass_rate,turn_2_pass_rate,turn_3_pass_rate,turn_4_pass_rate,turn_5_pass_rate,observed_cr,avg_acc_power_baseline,product_baseline,gap_vs_avg_acc_power_pp,gap_vs_product_baseline_pp
CE / Basic,python_function,2,142,4,4,568,1136,0.5783450704225352,0.5580985915492958,0.5985915492957746,,,,0.3908450704225352,0.33448302048204726,0.33407310057528267,5.636204994048794,5.677196984725253
CE / Basic,python_function,3,142,4,4,568,1704,0.54518779342723,0.5580985915492958,0.5985915492957746,0.4788732394366197,,,0.2676056338028169,0.16204602069530885,0.15997866788112128,10.555961310750803,10.76269659216956
CE / Basic,python_function,4,100,4,4,400,1600,0.4925,0.5375,0.5625,0.44,0.43,,0.1575,0.0588335344140625,0.057203437499999996,9.86664655859375,10.02965625
CE / Basic,python_function,5,34,4,4,136,680,0.5323529411764706,0.5294117647058824,0.7279411764705882,0.5441176470588235,0.4411764705882353,0.41911764705882354,0.17647058823529413,0.0427561201808087,0.03877314014941293,13.371446805448542,13.769744808588118
CE / Basic,python_repository,2,89,4,4,356,712,0.2640449438202247,0.24157303370786518,0.28651685393258425,,,,0.09269662921348315,0.06971973235702561,0.06921474561292766,2.297689685645754,2.348188360055549
CE / Basic,python_repository,3,89,4,4,356,1068,0.24719101123595508,0.24157303370786518,0.28651685393258425,0.21348314606741572,,,0.033707865168539325,0.015104210256053817,0.014776181647703657,1.8603654912485508,1.8931683520835667
CE / Basic,python_repository,4,85,4,4,340,1360,0.2676470588235294,0.23823529411764705,0.28823529411764703,0.21764705882352942,0.3264705882352941,,0.020588235294117647,0.005131565788843524,0.004879216903533243,1.5456669505274123,1.5709018390584404
CE / Basic,python_repository,5,25,4,4,100,500,0.27,0.26,0.23,0.35,0.3,0.21,0.05,0.0014348907000000005,0.00131859,4.85651093,4.8681410000000005
CE / Basic,java_function,2,172,4,4,688,1376,0.5930232558139534,0.6206395348837209,0.565406976744186,,,,0.4476744186046512,0.3516765819361817,0.35091392306652247,9.59978366684695,9.67604955381287
CE / Basic,java_function,3,172,4,4,688,2064,0.564437984496124,0.6206395348837209,0.565406976744186,0.5072674418604651,,,0.313953488372093,0.17982443200992465,0.17800720806717493,13.412905636216838,13.59462803049181
CE / Basic,java_function,4,163,4,4,652,2608,0.5421779141104295,0.6119631901840491,0.5659509202453987,0.504601226993865,0.48619631901840493,,0.2392638036809816,0.08641065350131687,0.0849696910354618,15.285315017966472,15.429411264551979
CE / Basic,java_function,5,109,4,4,436,2180,0.5123853211009174,0.5894495412844036,0.5412844036697247,0.5045871559633027,0.46559633027522934,0.4610091743119266,0.17889908256880735,0.035316966837227674,0.03455631754049554,14.358211573157966,14.434276502831182
CE / Basic,java_repository,2,40,4,4,160,320,0.325,0.35625,0.29375,,,,0.23125,0.10562500000000001,0.10464843750000001,12.562499999999998,12.660156249999998
CE / Basic,java_repository,3,33,4,4,132,396,0.3181818181818182,0.3560606060606061,0.32575757575757575,0.2727272727272727,,,0.21212121212121213,0.03221262208865514,0.03163348359629351,17.9908590032557,18.04877285249186
CE / Basic,java_repository,4,15,4,4,60,240,0.1875,0.31666666666666665,0.13333333333333333,0.15,0.15,,0.11666666666666667,0.0012359619140625,0.0009499999999999998,11.543070475260416,11.571666666666665
CE / Basic,java_repository,5,4,4,4,16,80,0.0875,0.25,0.0625,0.0625,0.0625,0.0,0.0,5.129089355468748e-06,0.0,-0.0005129089355468748,0.0
CE / Golden,python_function,2,142,4,4,568,1136,0.6355633802816901,0.5316901408450704,0.7394366197183099,,,,0.3873239436619718,0.4039408103550883,0.3931511604840309,-1.661686669311646,-0.5827216822059111
CE / Golden,python_function,3,142,4,4,568,1704,0.6484741784037559,0.5316901408450704,0.7394366197183099,0.6742957746478874,,,0.2676056338028169,0.27269555743095714,0.2651001663122955,-0.5089923628140258,0.2505467490521385
CE / Golden,python_function,4,100,4,4,400,1600,0.61625,0.5125,0.6975,0.625,0.63,,0.1375,0.14422074316650388,0.14075332031249999,-0.6720743166503867,-0.32533203124999743
CE / Golden,python_function,5,34,4,4,136,680,0.6411764705882353,0.49264705882352944,0.8382352941176471,0.6470588235294118,0.5588235294117647,0.6691176470588235,0.1323529411764706,0.10836471242526541,0.09991317705101639,2.3988228751205183,3.24397641254542
CE / Golden,python_repository,2,89,4,4,356,712,0.3258426966292135,0.2556179775280899,0.3960674157303371,,,,0.09269662921348315,0.10617346294659766,0.10124195177376595,-1.3476833733114506,-0.85453225602828
CE / Golden,python_repository,3,89,4,4,356,1068,0.3249063670411985,0.2556179775280899,0.3960674157303371,0.32303370786516855,,,0.03651685393258427,0.03429846360331159,0.03270456307298619,0.22183903292726792,0.38122908595980765
CE / Golden,python_repository,4,85,4,4,340,1360,0.3514705882352941,0.2529411764705882,0.4,0.31470588235294117,0.43823529411764706,,0.026470588235294117,0.015260049872374906,0.013953775697130062,1.1210538362919211,1.2516812538164055
CE / Golden,python_repository,5,25,4,4,100,500,0.41200000000000003,0.25,0.43,0.46,0.57,0.35,0.05,0.011870966520832004,0.009865275,3.8129033479167997,4.013472500000001
CE / Golden,java_function,2,172,4,4,688,1376,0.6635174418604651,0.6206395348837209,0.7063953488372093,,,,0.4622093023255814,0.4402553956530557,0.4384168807463494,2.1953906672525667,2.3792421579232004
CE / Golden,java_function,3,172,4,4,688,2064,0.6782945736434108,0.6206395348837209,0.7063953488372093,0.7078488372093024,,,0.3313953488372093,0.3120721608952205,0.3103328792492328,1.9323187941988784,2.106246958797647
CE / Golden,java_function,4,163,4,4,652,2608,0.6763803680981595,0.6119631901840491,0.7070552147239264,0.700920245398773,0.6855828220858896,,0.25153374233128833,0.2092974682410855,0.207925216016526,4.223627409020284,4.3608526314762335
CE / Golden,java_function,5,109,4,4,436,2180,0.6614678899082569,0.591743119266055,0.694954128440367,0.7178899082568807,0.6926605504587156,0.6100917431192661,0.18577981651376146,0.12663210724563576,0.12475639169668451,5.9147709268125706,6.102342481707695
CE / Golden,java_repository,2,40,4,4,160,320,0.478125,0.3375,0.61875,,,,0.25,0.22860351562500003,0.20882812500000003,2.139648437499997,4.1171874999999964
CE / Golden,java_repository,3,33,4,4,132,396,0.5631313131313131,0.3333333333333333,0.6515151515151515,0.7045454545454546,,,0.20454545454545456,0.1785784427016827,0.15300734618916437,2.5967011843771868,5.153810835629019
CE / Golden,java_repository,4,15,4,4,60,240,0.5958333333333333,0.26666666666666666,0.4,0.8333333333333334,0.8833333333333333,,0.11666666666666667,0.12603732669029707,0.07851851851851852,-0.9370660023630406,3.8148148148148153
CE / Golden,java_repository,5,4,4,4,16,80,0.6375,0.25,0.5625,0.9375,0.875,0.5625,0.0,0.10529335052490231,0.06488800048828125,-10.52933505249023,-6.488800048828125
CI / Basic,python_function,2,142,4,4,568,1136,0.5642605633802817,0.528169014084507,0.6003521126760564,,,,0.3626760563380282,0.318389983386233,0.31708738345566356,4.428607295179521,4.5588672882364625
CI / Basic,python_function,3,142,4,4,568,1704,0.5287558685446009,0.528169014084507,0.6003521126760564,0.45774647887323944,,,0.2112676056338028,0.14783102959908453,0.14514563327195867,6.3436576034718275,6.612197236184414
CI / Basic,python_function,4,100,4,4,400,1600,0.490625,0.51,0.5575,0.4225,0.4725,,0.1,0.0579426957130432,0.05676015515625,4.20573042869568,4.323984484375001
CI / Basic,python_function,5,34,4,4,136,680,0.5220588235294118,0.5,0.6470588235294118,0.5220588235294118,0.4632352941176471,0.47794117647058826,0.1323529411764706,0.03877905322476881,0.0373946349383688,9.357388795170179,9.495830623810178
CI / Basic,python_repository,2,89,4,4,356,712,0.2794943820224719,0.23595505617977527,0.32303370786516855,,,,0.11235955056179775,0.07811710958212346,0.07622143668728695,3.4242440979674287,3.6138113874510798
CI / Basic,python_repository,3,89,4,4,356,1068,0.28651685393258425,0.23595505617977527,0.32303370786516855,0.300561797752809,,,0.047752808988764044,0.023520715095273686,0.022909252038032877,2.4232093893490356,2.4843556950731167
CI / Basic,python_repository,4,85,4,4,340,1360,0.3161764705882353,0.23529411764705882,0.3205882352941177,0.28823529411764703,0.42058823529411765,,0.03235294117647059,0.009993513163044322,0.00914456244537302,2.2359428013426266,2.3208378731097574
CI / Basic,python_repository,5,25,4,4,100,500,0.346,0.25,0.28,0.44,0.41,0.35,0.06,0.004958844546975998,0.0044198,5.5041155453024,5.55802
CI / Basic,java_function,2,172,4,4,688,1376,0.6111918604651163,0.6119186046511628,0.6104651162790697,,,,0.45203488372093026,0.3735554902988102,0.3735549621416982,7.8479393422120065,7.847992157923206
CI / Basic,java_function,3,172,4,4,688,2064,0.5755813953488372,0.6119186046511628,0.6104651162790697,0.5043604651162791,,,0.29651162790697677,0.1906866297936031,0.18840635445228093,10.582499811337367,10.810527345469584
CI / Basic,java_function,4,163,4,4,652,2608,0.5548312883435582,0.602760736196319,0.6104294478527608,0.5076687116564417,0.49846625766871167,,0.20552147239263804,0.09476408557367937,0.09311005737771309,11.075738681895867,11.241141501492494
CI / Basic,java_function,5,109,4,4,436,2180,0.5197247706422019,0.5711009174311926,0.6123853211009175,0.5,0.4541284403669725,0.4610091743119266,0.15825688073394495,0.037919891087078474,0.03660967752269208,12.033698964686648,12.164720321125287
CI / Basic,java_repository,2,40,4,4,160,320,0.228125,0.34375,0.1125,,,,0.075,0.052041015625,0.038671875,2.2958984375,3.6328124999999996
CI / Basic,java_repository,3,33,4,4,132,396,0.19444444444444445,0.3484848484848485,0.13636363636363635,0.09848484848484848,,,0.022727272727272728,0.007351680384087792,0.004680065113949411,1.5375592343184936,1.804720761332332
CI / Basic,java_repository,4,15,4,4,60,240,0.09166666666666666,0.31666666666666665,0.016666666666666666,0.016666666666666666,0.016666666666666666,,0.016666666666666666,7.060667438271603e-05,1.466049382716049e-06,1.659605999228395,1.666520061728395
CI / Basic,java_repository,5,4,4,4,16,80,0.0375,0.1875,0.0,0.0,0.0,0.0,0.0,7.415771484374998e-08,0.0,-7.415771484374998e-06,0.0
FH / Basic,python_function,2,142,11,11,1562,3124,0.5313700384122919,0.49615877080665816,0.5665813060179258,,,,0.3393085787451985,0.2823541177222806,0.2811142843558851,5.69544610229179,5.81942943893134
FH / Basic,python_function,3,142,11,11,1562,4686,0.5032010243277849,0.49615877080665816,0.5665813060179258,0.4468629961587708,,,0.21702944942381563,0.12741617088043672,0.12561957137029947,8.961327854337892,9.140987805351616
FH / Basic,python_function,4,100,11,11,1100,4400,0.45954545454545453,0.4681818181818182,0.5209090909090909,0.40636363636363637,0.44272727272727275,,0.11636363636363636,0.04459784759583532,0.0438760572740933,7.176578876780104,7.248757908954307
FH / Basic,python_function,5,34,11,11,374,1870,0.5117647058823529,0.47593582887700536,0.6818181818181818,0.48663101604278075,0.446524064171123,0.4679144385026738,0.14171122994652408,0.03510359991886505,0.03299347652211819,10.660763002765902,10.87177534244059
FH / Basic,python_repository,2,89,10,11,890,1780,0.2707865168539326,0.2303370786516854,0.3112359550561798,,,,0.09438202247191012,0.07332533770988514,0.0716891806590077,2.1056684762024975,2.269284181290242
