analysis,setting,subset,model_id,task_id,total_turn,history_group,earlier_non_pass_count,final_pass,cell_id
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,011344574b07c99c543c1b8e,4,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,0166798bbd2b28358335cfca,5,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,06d4760540bc11b559b606a3,5,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,071ca43315f18cabb7e53b83,4,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,09877f99d8194ba0a4b3af59,5,at_least_one_earlier_non_pass,3,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,098c66f86020b510b90a8aef,5,at_least_one_earlier_non_pass,4,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,0d165e3d0e5441f7df71b6c0,4,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,0d3dd7064d3d4acde73b140f,5,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,0de4b3cd212c175468552d13,4,at_least_one_earlier_non_pass,1,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,10e9733f1e12f837fd268d53,3,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,12d54df12f53e1697f323b73,5,at_least_one_earlier_non_pass,4,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,13594ac9eef6d726a625e7c1,5,at_least_one_earlier_non_pass,4,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,14e36aec6a4a87568da49ac9,5,at_least_one_earlier_non_pass,3,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,154a3f7b6438381ebb9d6fa8,5,all_earlier_turns_passed,0,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,159424101533d630cc98faf5,4,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,15f82cf3330c9baa659721ab,5,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,17966d1a43ab9c32ea9cff69,4,at_least_one_earlier_non_pass,3,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,192cd772811c7663871787de,4,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,1b0ccc2001a4a5e34d419b80,4,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,1bb0dd612cf478cfa7dfc14d,5,at_least_one_earlier_non_pass,4,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,1be4a6dd1a785c36dc365a90,4,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,1c68b1bc7f6782cafbef8335,5,at_least_one_earlier_non_pass,1,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,1e7a03ba38b3f953f6146ceb,3,all_earlier_turns_passed,0,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,1f791ea6c88a5041e1f2f02b,5,at_least_one_earlier_non_pass,1,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,2049239e057aa5cf88928354,4,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,20a22820f65f2793e1b468e5,5,at_least_one_earlier_non_pass,4,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,212814382780a48372d46a78,5,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,214e4f6f44d3627148605b2d,5,at_least_one_earlier_non_pass,2,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,226a2774893dcf3c72f807f6,5,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,23b2ead8ab1358155ec1068c,4,at_least_one_earlier_non_pass,3,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,264825256aa570ad9969c3f6,5,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,2c3cb119e820f5bec751ced3,5,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,2e6d5461d75370e670bd3211,4,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,30429e997342e5cb96487e09,5,at_least_one_earlier_non_pass,4,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,30c418c982f35eac6ef392b7,5,at_least_one_earlier_non_pass,4,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,31584c5b65524566311349de,5,at_least_one_earlier_non_pass,3,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,31be8283b2bf98f34f0aae9b,4,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,31f6fffcb703e9ce549254c6,5,at_least_one_earlier_non_pass,2,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,3460a9dd1842ba18ee829401,4,at_least_one_earlier_non_pass,2,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,354c2ae8048bfbd15692179e,4,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,38b2569cf5c5ed6dc60b0870,5,at_least_one_earlier_non_pass,3,0,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,39214bf488938896d016a602,5,all_earlier_turns_passed,0,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,39de9daae4245719afd97762,5,at_least_one_earlier_non_pass,2,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
rq1_fh_basic,Full History,java_function,deepseek_v31_non_thinking,3a73081c089414c091495626,5,at_least_one_earlier_non_pass,1,1,java_function__rq1__deepseek_v31_non_thinking__base__fh
