group,expected_turns,eligible_turns,skipped_empty_code,api_error,unparsed,test_pass_judge_yes,test_pass_judge_no,test_nonpass_judge_yes,test_nonpass_judge_no,test_avg_acc_percent,judge_avg_acc_percent,delta_avg_acc_points,agreement_percent,cohen_kappa,expected_trajectories,eligible_trajectories,test_complete_trajectories,judge_complete_trajectories,test_cr_percent,judge_cr_percent,delta_cr_points
java_function__rq1__deepseek_v31_non_thinking__base__fh,788,788,0,0,0,309,117,164,198,54.06091371,60.02538071,5.964467,64.34010152,0.27499542,172,172,38,54,22.09302326,31.39534884,9.30232558
java_function__rq1__deepseek_v31_non_thinking__golden__fh,788,788,0,0,0,383,147,131,127,67.25888325,65.2284264,-2.03045685,64.72081218,0.21152351,172,172,41,51,23.8372093,29.65116279,5.81395349
java_function__rq1__deepseek_v31_thinking__base__fh,788,788,0,0,0,325,93,188,182,53.04568528,65.10152284,12.05583756,64.34010152,0.27343483,172,172,34,63,19.76744186,36.62790698,16.86046512
java_function__rq1__deepseek_v31_thinking__golden__fh,788,788,0,0,0,373,135,150,130,64.46700508,66.37055838,1.9035533,63.83248731,0.20095353,172,172,39,60,22.6744186,34.88372093,12.20930233
java_function__rq1__gpt_5_mini__base__fh,788,788,0,0,0,299,86,270,133,48.85786802,72.20812183,23.35025381,54.82233503,0.10552193,172,172,35,72,20.34883721,41.86046512,21.51162791
java_function__rq1__gpt_5_mini__golden__fh,788,788,0,0,0,407,108,187,86,65.35532995,75.38071066,10.02538071,62.56345178,0.11299185,172,172,39,74,22.6744186,43.02325581,20.34883721
java_function__rq1__gpt_oss_120b_thinking__base__fh,788,788,0,0,0,291,105,254,138,50.25380711,69.16243655,18.90862944,54.44162437,0.08705642,172,172,34,67,19.76744186,38.95348837,19.18604651
java_function__rq1__gpt_oss_120b_thinking__golden__fh,788,788,0,0,0,374,117,189,108,62.30964467,71.44670051,9.13705584,61.16751269,0.1316523,172,172,39,67,22.6744186,38.95348837,16.27906977
java_function__rq1__gpt_oss_20b_non_thinking__base__fh,788,788,0,0,0,332,90,241,125,53.55329949,72.71573604,19.16243655,57.99492386,0.13186974,172,172,35,77,20.34883721,44.76744186,24.41860465
java_function__rq1__gpt_oss_20b_non_thinking__golden__fh,788,788,0,0,0,374,130,174,110,63.95939086,69.54314721,5.58375635,61.4213198,0.13391566,172,172,37,64,21.51162791,37.20930233,15.69767442
java_function__rq1__gpt_oss_20b_thinking__base__fh,788,788,0,0,0,323,94,231,140,52.91878173,70.30456853,17.3857868,58.75634518,0.15509779,172,172,34,66,19.76744186,38.37209302,18.60465116
java_function__rq1__gpt_oss_20b_thinking__golden__fh,788,788,0,0,0,361,127,191,109,61.92893401,70.05076142,8.12182741,59.64467005,0.10750513,172,172,34,63,19.76744186,36.62790698,16.86046512
java_function__rq1__qwen3_235b_a22b_instruct_2507__base__fh,788,788,0,0,0,292,118,192,186,52.03045685,61.4213198,9.39086295,60.65989848,0.2058311,172,172,27,59,15.69767442,34.30232558,18.60465116
java_function__rq1__qwen3_235b_a22b_instruct_2507__golden__fh,788,788,0,0,0,390,135,120,143,66.62436548,64.72081218,-1.9035533,67.63959391,0.28256213,172,172,38,52,22.09302326,30.23255814,8.13953488
java_function__rq1__qwen3_235b_a22b_thinking__base__fh,788,788,0,0,0,320,83,217,168,51.14213198,68.14720812,17.00507614,61.92893401,0.23221327,172,172,30,70,17.44186047,40.69767442,23.25581395
java_function__rq1__qwen3_235b_a22b_thinking__golden__fh,788,788,0,0,0,332,98,219,139,54.56852792,69.92385787,15.35532995,59.7715736,0.16503102,172,172,23,62,13.37209302,36.04651163,22.67441861
java_function__rq1__qwen3_30b_a3b_non_thinking__base__fh,788,783,5,0,0,209,120,124,330,42.01787995,42.52873563,0.51085568,68.83780332,0.36152551,172,167,10,24,5.98802395,14.37125749,8.38323354
java_function__rq1__qwen3_30b_a3b_non_thinking__golden__fh,788,782,6,0,0,305,135,120,222,56.26598465,54.34782609,-1.91815856,67.39130435,0.34064081,172,166,15,28,9.03614458,16.86746988,7.8313253
java_function__rq1__qwen3_30b_a3b_thinking__base__fh,788,788,0,0,0,235,99,163,291,42.3857868,50.50761421,8.12182741,66.75126904,0.33605187,172,172,18,40,10.46511628,23.25581395,12.79069767
java_function__rq1__qwen3_30b_a3b_thinking__golden__fh,788,788,0,0,0,335,131,143,179,59.13705584,60.65989848,1.52284264,65.2284264,0.27637612,172,172,22,43,12.79069767,25.0,12.20930233
java_function__rq1__qwen3_coder_480b_a35b_instruct__base__fh,788,788,0,0,0,345,106,159,178,57.23350254,63.95939086,6.72588832,66.37055838,0.29910181,172,172,33,62,19.18604651,36.04651163,16.86046512
java_function__rq1__qwen3_coder_480b_a35b_instruct__golden__fh,788,788,0,0,0,392,148,118,130,68.52791878,64.72081218,-3.8071066,66.24365482,0.24219812,172,172,38,46,22.09302326,26.74418605,4.65116279
java_function__rq2__deepseek_v31_thinking__base__ce,788,788,0,0,0,303,98,193,194,50.88832487,62.94416244,12.05583757,63.07106599,0.25800857,172,172,35,58,20.34883721,33.72093023,13.37209302
java_function__rq2__deepseek_v31_thinking__base__ci,788,788,0,0,0,351,70,208,159,53.42639594,70.93908629,17.51269035,64.72081218,0.27356895,172,172,27,69,15.69767442,40.11627907,24.41860465
java_function__rq2__deepseek_v31_thinking__golden__ce,788,788,0,0,0,371,145,136,136,65.4822335,64.34010152,-1.14213198,64.34010152,0.21729233,172,172,40,48,23.25581395,27.90697674,4.65116279
java_function__rq2__gpt_oss_20b_non_thinking__base__ce,788,788,0,0,0,302,113,204,169,52.66497462,64.21319797,11.54822335,59.7715736,0.18305382,172,172,36,56,20.93023256,32.55813953,11.62790697
